,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
415,   R$ 6.000 /Mês  ,  4   Quartos  ,"Rua Ferreira de Araújo - Pinheiros, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  200   m²  , Pinheiros,Rua Ferreira de Araújo
416,   R$ 1.150 /Mês  ,  --   Quarto  ,"Alameda Olga, 422 - Barra Funda, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  37   m²  , Barra Funda,"Alameda Olga, 422"
417,   R$ 1.500 /Mês  ,  --   Quarto  ,"Rua Joaquim Antunes, 767 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  42   m²  , Pinheiros,"Rua Joaquim Antunes, 767"
418,   R$ 25.000 /Mês  ,  --   Quarto  ,"Rua Santa Cruz, 1168 - Vila Mariana, São Paulo - SP",  10   Banheiros  ,  20   Vagas  ,  500   m²  , Vila Mariana,"Rua Santa Cruz, 1168"
419,   R$ 1.000 /Mês  ,  --   Quarto  ,"Rua Coriolano, 1926 - Vila Romana, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  25   m²  , Vila Romana,"Rua Coriolano, 1926"
420,   R$ 5.800 /Mês  ,  --   Quarto  ,"Rua Barra do Tibaji, 235 - Bom Retiro, São Paulo - SP",  3   Banheiros  ,  --   Vaga  ,  240   m²  , Bom Retiro,"Rua Barra do Tibaji, 235"
421,   R$ 6.500 /Mês  ,  5   Quartos  ,"Rua Simão Álvares, 526 - Pinheiros, São Paulo - SP",  4   Banheiros  ,  1   Vaga  ,  120   m²  , Pinheiros,"Rua Simão Álvares, 526"
422,   R$ 8.500 /Mês  ,  --   Quarto  ,"Rua Pais Leme, 524 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  7   Vagas  ,  150   m²  , Pinheiros,"Rua Pais Leme, 524"
423,   R$ 1.200 /Mês  ,  1   Quarto  ,"Rua Doutor Artur Imbassai, 99 - Ferreira, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  22   m²  , Ferreira,"Rua Doutor Artur Imbassai, 99"
424,   R$ 2.800 /Mês    R$ 750.000   ,  2   Quartos  ,"Rua Aracuípe - Jardim Prudência, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  116   m²  , Jardim Prudência,Rua Aracuípe
