,rent,rooms,address,bathroom,parking,area,suburb,street
973,2200,  2  ,"Rua Artur Thiré, 1085 - Saúde, São Paulo - SP",  2  ,  --  ,  80  ,Saúde,"Rua Artur Thiré, 1085"
974,4000,  3  ,"Lapa, São Paulo - SP",  1  ,  2  ,  115  ,SP,"Lapa, São Paulo"
975,4000,  4  ,"Rua Ubajara - Quarta Parada, São Paulo - SP",  3  ,  2  ,  200  ,Quarta Parada,Rua Ubajara
976,2600,  2  ,"Chácara Santo Antônio, São Paulo - SP",  2  ,  --  ,  180  ,SP,"Chácara Santo Antônio, São Paulo"
977,6000,  3  ,"Lapa, São Paulo - SP",  2  ,  4  ,  136  ,SP,"Lapa, São Paulo"
978,1500,  2  ,"Avenida Ramalho Ortigão, 200 - Ipiranga, São Paulo - SP",  1  ,  --  ,  100  ,Ipiranga,"Avenida Ramalho Ortigão, 200"
979,1190,  1  ,"Rua Santo Elias, 240 - Parque São Jorge, São Paulo - SP",  1  ,  --  ,  40  ,Parque São Jorge,"Rua Santo Elias, 240"
980,5500,  3  ,"Paraíso, São Paulo - SP",  3  ,  1  ,  115  ,SP,"Paraíso, São Paulo"
981,5000,  3  ,"Rua Guiratinga, 465 - Chácara Inglesa, São Paulo - SP",  2  ,  4  ,  200  ,Chácara Inglesa,"Rua Guiratinga, 465"
982,1700,  1  ,"Rua Barretos, 363 - Alto da Mooca, São Paulo - SP",  2  ,  1  ,  70  ,Alto da Mooca,"Rua Barretos, 363"
983,1200,  1  ,"Rua José de Freitas, 1 - Imirim, São Paulo - SP",  1  ,  1  ,  70  ,Imirim,"Rua José de Freitas, 1"
984,1300,  3  ,"Rua Rifaina, 550 - Pompeia, São Paulo - SP",  1  ,  --  ,  60  ,Pompeia,"Rua Rifaina, 550"
985,8000,  4  ,"Rua Maria Luísa de Pinho - Móoca, São Paulo - SP",  4  ,  6  ,  520  ,Móoca,Rua Maria Luísa de Pinho
986,3850,  3  ,"Rua Torquato Tasso - Vila Prudente, São Paulo - SP",  2  ,  3  ,  250  ,Vila Prudente,Rua Torquato Tasso
987,1100,  1  ,"Rua Padre Adelino, 1720 - Quarta Parada, São Paulo - SP",  1  ,  --  ,  40  ,Quarta Parada,"Rua Padre Adelino, 1720"
988,9500,  3  ,"Rua Afonso Vaz, 131 - Butantã, São Paulo - SP",  3  ,  --  ,  516  ,Butantã,"Rua Afonso Vaz, 131"
989,3500,  1  ,"Jardim Paulista, São Paulo - SP",  1  ,  1  ,  45  ,SP,"Jardim Paulista, São Paulo"
990,1500,  2  ,"Rua Maracá, 168 - Vila Guarani, São Paulo - SP",  1  ,  --  ,  72  ,Vila Guarani,"Rua Maracá, 168"
991,2100,  2  ,"Rua Costa Barros, 230 - Sítio Pinheirinho, São Paulo - SP",  1  ,  2  ,  100  ,Sítio Pinheirinho,"Rua Costa Barros, 230"
992,18500,  4  ,"Rua Cassiano Ricardo, 118 - Alto Da Boa Vista, São Paulo - SP",  6  ,  4  ,  430  ,Alto Da Boa Vista,"Rua Cassiano Ricardo, 118"
993,35000,  4  ,"Chácara Monte Alegre, São Paulo - SP",  6  ,  5  ,  800  ,SP,"Chácara Monte Alegre, São Paulo"
994,20000,  4  ,"Rua Carlos Baptista de Magalhães, 140 - Jardim Prudência, São Paulo - SP",  4  ,  5  ,  587  ,Jardim Prudência,"Rua Carlos Baptista de Magalhães, 140"
995,15000,  3  ,"Brooklin, São Paulo - SP",  5  ,  6  ,  500  ,SP,"Brooklin, São Paulo"
996,6000,  4  ,"Jardim da Saude, São Paulo - SP",  5  ,  3  ,  154  ,SP,"Jardim da Saude, São Paulo"
997,15000,  3  ,"Rua João Álvares Soares - Campo Belo, São Paulo - SP",  5  ,  3  ,  310  ,Campo Belo,Rua João Álvares Soares
